,user_name,date,text,hashtags,Date,Time
432,Nicole,2022-10-12 09:39:07+00:00,"OMG FINALE NGA PALA TONIGHT 💗 GO QUEEEN @marinaxsummers!!!! 

#TeamMarina #TeamMarinaSummers #DragRacePH #DRPH","['TeamMarina', 'TeamMarinaSummers', 'DragRacePH', 'DRPH']",2022-10-12,09:39:07
433,billie.ೃ࿐ ronance au📌,2022-10-12 09:36:17+00:00,"#TeamEvaLeQueen
and #TeamMarinaSummers make some noise !!!!!!! https://t.co/QEVCMf7HXR","['TeamEvaLeQueen', 'TeamMarinaSummers']",2022-10-12,09:36:17
434,Jaren Agustin 자렌 아구스틴,2022-10-12 09:20:21+00:00,"#TeamEvarina for the 👑😁❤️

#TeamMarinaSummers
#TeamEvaLeQueen 
#DragRacePH #DragRacePHfinale #DragRacePhilippines","['TeamEvarina', 'TeamMarinaSummers', 'TeamEvaLeQueen', 'DragRacePH', 'DragRacePHfinale', 'DragRacePhilippines']",2022-10-12,09:20:21
435,jhayvie,2022-10-12 09:17:54+00:00,Go gurl!  #TeamMarinaSummers https://t.co/xWtjntWwjY,['TeamMarinaSummers'],2022-10-12,09:17:54
436,Bles Antolin,2022-10-12 09:16:43+00:00,#TeamMarinaSummers themed pambahay for tonight’s #dragraceph FINALE!!!! #FilipinaWinnah💛👑 https://t.co/vTyGaPzZC2,"['TeamMarinaSummers', 'dragraceph', 'FilipinaWinnah']",2022-10-12,09:16:43
437,Nats,2022-10-12 09:11:27+00:00,"Crown the Filipina winnaaahhh 👑
#TeamMarinaSummers https://t.co/bi6D9ZeljO",['TeamMarinaSummers'],2022-10-12,09:11:27
438,9clouders,2022-10-12 09:10:27+00:00,"grand finals na sang Drag Race Philippines later!!!
#TeamMarinaSummers #TeamEvaLeQueen","['TeamMarinaSummers', 'TeamEvaLeQueen']",2022-10-12,09:10:27
439,chelsea ♡,2022-10-12 09:07:28+00:00,can’t wait to watch drph later #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,09:07:28
440,Ari Ola,2022-10-12 09:05:14+00:00,#TeamMarinaSummers 2 hours nalang and we will have our 1st Filipino winnah,['TeamMarinaSummers'],2022-10-12,09:05:14
441,Dwyne #Deluxe,2022-10-12 09:03:16+00:00,"I loveeee the 4 of them pero for tonight, I am #TeamMarinaSummers she fuckin deserves the crown",['TeamMarinaSummers'],2022-10-12,09:03:16
