,user_name,date,text,hashtags,Date,Time
23,kakaibabe donna ❤️,2022-10-12 23:16:02+00:00,"@PreciousPaulaN YOU DESERVE ALL THE LOVE AND RECOGNITION IN THE WOLRD! Salamat din sayo my queen! ❤️ #TeamPreciousPaulaNicole 
https://t.co/feU99CjElo",,2022-10-12,23:16:02
24,kakaibabe donna ❤️,2022-10-12 23:14:56+00:00,"@PreciousPaulaN Congrats my queen!! ❤️❤️❤️ sobrang happy ko talagaaaaa~ sulit lahat ng pagod and sacrifices mo. Simula pa lang ito ng new beginnings ng life mo, and I am still here and willing to support you always! Labyu Ka! #TeamPreciousPaulaNicole 
 https://t.co/QxJLyONAWW",,2022-10-12,23:14:56
25,Anne Jamnague,2022-10-12 22:51:35+00:00,"But @PreciousPaulaN was SO READY to give it all. From lip sync 1 dress reveal, props, and dance moves to the final round where she has shown a classic Pinay talent, gahhhhd, she deserved every bit of it! #TeamPreciousPaulaNicole #DragRacePHfinale #DragRacePHfinale @dragraceph",,2022-10-12,22:51:35
26,chie-duhmar,2022-10-12 22:48:18+00:00,I KNEW IT!!! #TeamPreciousPaulaNicole 💗💗💗💗,['TeamPreciousPaulaNicole'],2022-10-12,22:48:18
27,jea,2022-10-12 22:46:58+00:00,"Congratulations @PreciousPaulaN!!! Dasurv ng soobra, deadma na sa bashers!!! We love you and we are so proud of you! 💗 #TeamPreciousPaulaNicole #DragRacePhilippines https://t.co/CnGNErZmn6",,2022-10-12,22:46:58
28,Anne Jamnague,2022-10-12 22:40:51+00:00,SOBRANG WORTH THE WAIT!!! SHEEEEET! CONGRATULATIONS MAMA @PreciousPaulaN!! I FCKN KNEW IT!! #DragRacePH #TeamPreciousPaulaNicole,"['DragRacePH', 'TeamPreciousPaulaNicole']",2022-10-12,22:40:51
29,AngryPropesora,2022-10-12 22:25:25+00:00,"SHE ATE AND LEFT NO CRUMBS. 

Good morning my Queen.  @PreciousPaulaN. ♥️👑

#PreciousPaulaNicole #TeamPreciousPaulaNicole https://t.co/aAImU6kjy6",['PreciousPaulaNicole'],2022-10-12,22:25:25
30,Precious baby ni PPN ✨,2022-10-12 21:48:39+00:00,"But he chose to talk to us, thank us for being soooo supportive of him and we promise to support you all throughout your journey ma! @PreciousPaulaN we love you a d CONDRAGULATIONS!! 

#TeamPrecious 
#PreciousPaulaNicole
#DragRacePH 
#PreciouHeart
#TeamPreciousPaulaNicole",,2022-10-12,21:48:39
31,Josh,2022-10-12 21:47:00+00:00,"Nectar's reaction. Congrats @PreciousPaulaN!!! 😭❤️👑

#TeamPrecious
#TeamPreciousPaulaNicole
#DragRacePH 
#DragRacePhilippines 
#DragRace https://t.co/bXTgdWZBtX","['TeamPrecious', 'TeamPreciousPaulaNicole', 'DragRacePH']",2022-10-12,21:47:00
32,C H I C H A Y,2022-10-12 19:56:03+00:00,Will forever love and support you! @PreciousPaulaN #TeamPreciousPaulaNicole https://t.co/ej2JVlx11M,['TeamPreciousPaulaNicole'],2022-10-12,19:56:03
33,Lance Trevor,2022-10-12 19:17:19+00:00,"@katyaspangina Eto favorite ko din... Pati ung Flag ruveal sa huli with matching tingin sa heaven/ceiling with teary effect!

Goosebumps!
 #TeamPreciousPaulaNicole",,2022-10-12,19:17:19
34,ALISTAIR🦋 #TeamVinasDeLuxe,2022-10-12 19:11:49+00:00,@PreciousPaulaN You a WINNER gurrrrll!! #DragRacePhilippines #DragRacePH #TeamPreciousPaulaNicole #PreciousPaulaNicole #PPN special mahalo Jess and Deejay for getting my Drag Race Philippines🇵🇭 merch to the USA🇺🇸 Aloha🌺 https://t.co/vmu7RfCgsu https://t.co/9B4fN3kn3o,"['DragRacePhilippines', 'DragRacePH', 'TeamPreciousPaulaNicole']",2022-10-12,19:11:49
35,Pauii Targaryen 🔥🐉💗🐶☕️,2022-10-12 18:38:58+00:00,"ConDRAGulations, my queen! @PreciousPaulaN ! 😍😍😍 @dragraceph #DragRacePHfinale #TeamPreciousPaulaNicole 

Congrats to Dragmom @ladygagitaofcl too! 💗💗💗 https://t.co/BjpcVV9AMX https://t.co/0WPWz1Fhdi","['DragRacePHfinale', 'TeamPreciousPaulaNicole']",2022-10-12,18:38:58
37,Vi,2022-10-12 18:34:33+00:00,"Totoo ang chismis, na most na nag babash sa #TeamPreciousPaulaNicole are first timer drag race fans. Naging fan lang netong dragraceph. I mean, try to watch other seasons to understand like rpdrs10. Ops.",['TeamPreciousPaulaNicole'],2022-10-12,18:34:33
40,kakaibabe shara ❤️,2022-10-12 18:18:51+00:00,"#PreciousLoves representz!

Here for @PreciousPaulaN 👑🫶🏻
#TeamPrecious #TeamPreciousPaulaNicole https://t.co/RVin646wSJ","['PreciousLoves', 'TeamPrecious', 'TeamPreciousPaulaNicole']",2022-10-12,18:18:51
41,Jaanna Lapatha,2022-10-12 18:17:38+00:00,@kerricolby Lipsync battles in #dragraceph is 👌 #TeamPreciousPaulaNicole #TeamMarina #dragraceph,"['dragraceph', 'TeamPreciousPaulaNicole', 'TeamMarina', 'dragraceph']",2022-10-12,18:17:38
42,𝒍𝒊𝒕𝒂𝒍 𝒄𝒐𝒉𝒆𝒏 🇮🇱,2022-10-12 18:15:43+00:00,"https://t.co/mJfsCS45ba  
It's unbelievable how one man can change it all.
This MV is absolutely CRAZY!
#TeamPreciousPaulaNicole #Musica #Yeg #ConstellationCup #HalaMadrid #stream #ArchanaGautamm #love #Live #Listen #PlayStationStars #GoodVibes #mood #USA",,2022-10-12,18:15:43
45,P A P A R A D O👑,2022-10-12 18:04:25+00:00,"SHE GOT THE ENERGY🔥💯💃🏽
#secondcomingchallenge #ForTheRoad
#TeamPreciousPaulaNicole #คิดถึงคนบนฟ้า #รัก7ปี 
-
https://t.co/S6CFiZZ2Tk https://t.co/0MNx8c0Wbr","['secondcomingchallenge', 'ForTheRoad', 'TeamPreciousPaulaNicole', 'คิดถึงคนบนฟ้า', 'รัก7ปี']",2022-10-12,18:04:25
49,shane david,2022-10-12 17:54:39+00:00,"Walang halong biro when i found out that precious paula nicole is part of DRPH alam ko na agad sino mananalo! She was the first drag queen i fell in love with! 💖
#DragRacePH #TeamPreciousPaulaNicole",,2022-10-12,17:54:39
51,Danielle,2022-10-12 17:41:42+00:00,In love with @PreciousPaulaN’s Cruella vibes in the finale!!!! #TeamPreciousPaulaNicole all the way!!!!!,['TeamPreciousPaulaNicole'],2022-10-12,17:41:42
53,iamistressmariz,2022-10-12 17:28:32+00:00,"CONGRATULATIONS PRECIOUS PAULA NICOLE! ❤️❤️❤️

YOU DESERVE THE CROWN, YOU DESERVE EVERYTHING!

THANK YOU FOR NOT JUST BEING A GREAT DRAG QUEEN, BUT AN AMAZING PERSON! ❤️❤️❤️

#TeamPreciousPaulaNicole
#TeamPrecious
@PreciousPaulaN",,2022-10-12,17:28:32
55,Martha Amethyst🔮,2022-10-12 16:28:51+00:00,"Congratulations to our first ever DRAG RACE PHILIPPINES SUPERSTAR WINNER Precious Paula Nicole LOVE U BHE!!!  🫶🏻✨❤️🇵🇭

#teampreciouspaulanicole
#DragRacePH 
#pinoydragqueens https://t.co/NtVbcc7pfm",,2022-10-12,16:28:51
56,Don Brandon Barreto,2022-10-12 16:28:37+00:00,@WonderShanShine @katyaspangina Even Marina were/was/is too stunned to speak! 😭😭😭😂😂😂😂😂 #TeamPreciousPaulaNicole,['TeamPreciousPaulaNicole'],2022-10-12,16:28:37
57,kakaibabe mani ❤️,2022-10-12 16:27:11+00:00,"Congratulations to our First Drag Race Philippines Superstar, @PreciousPaulaN!💖

#TeamPreciousPaulaNicole are proud of you! We love you!

#DragRacePH https://t.co/W0c3f1vaVz",['TeamPreciousPaulaNicole'],2022-10-12,16:27:11
58,Post 🌸,2022-10-12 16:22:58+00:00,"Super dasurv!!! #TeamPreciousPaulaNicole since forever!!! Congrats, queen! 💕 https://t.co/6uJ2yb6MXC",['TeamPreciousPaulaNicole'],2022-10-12,16:22:58
59,kakaibabe tricia❤️,2022-10-12 16:22:28+00:00,Congratulations ma love you always @PreciousPaulaN you really deserve everything!! (sorry fave photo) #TeamPreciousPaulaNicole https://t.co/UDwmpe50Kf,,2022-10-12,16:22:28
60,Kay Aquende,2022-10-12 16:20:41+00:00,woooohoooooooo!!!! #TeamPreciousPaulaNicole we won!!! https://t.co/1GsJTV9Tun,['TeamPreciousPaulaNicole'],2022-10-12,16:20:41
